sentence,label
Royal Mail chairman Donald Brydon set to step down,1
Slump in Weir leads FTSE down from record high,1
AstraZeneca wins FDA approval for key new lung cancer pill,3
UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,1
Standard Chartered Shifts Emerging-Markets Strategy After Losses,1
AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,3
Severn Trent share price rises as first half profit inches up as customer ...,3
Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,3
Lloyds to cut 945 jobs as part of three-year restructuring strategy,1
AstraZeneca to Buy ZS Pharma for $2.7 Billion,3
"Ackman, in email, says supports Valeant CEO Pearson",3
AstraZeneca sells US drug rights to Perrigo for $380 mln,3
"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",3
CORRECTED-Shire to buy Dyax for about $5.9 bln,3
Barclays poised to replace Sir Mike Rake as he heads for exit,3
AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,3
AstraZeneca shares climb 3% as drug maker ups profits forecasts,3
Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,3
easyJet expects resilient demand to withstand security fears,3
Compass Group says positive for year ahead,3
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,3
US dollar wipes out sales gains for SABMiller,1
"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",3
UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,3
Valeant CEO Pledges to Heed Critics After `Painful' Experience,1
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",3
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",3
StanChart and RBS struggle in Bank of England stress tests,1
StanChart and RBS struggle in Bank of England stress tests,1
REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,3
Barclays sells benchmark indices unit to Bloomberg,3
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",1
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",1
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",1
"EU drops Shell, BP, Statoil from ethanol benchmark investigation",3
"EU drops Shell, BP, Statoil from ethanol benchmark investigation",3
AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,3
Shell and BG Shareholders to Vote on Deal at End of January,2
AstraZeneca chases Acerta to secure next cancer drug winner,3
CompaniesTesco off to a bad start over Xmas â€“ Kantar,1
"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",3
Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,3
BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,3
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,3
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,3
Glencore Studies Possible IPO for Agricultural Trading Business,3
Can Christmas Save Sainsbury's plc And Tesco plc?,1
UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,3
Bilfinger Industrial Services win Â£100m BP contract extension,3
"Standard Chartered, RBS Escape Capital Raising in Stress Test",3
"Standard Chartered, RBS Escape Capital Raising in Stress Test",3
AstraZeneca weighing up Acerta bid to secure blood cancer drug,3
GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,3
2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,3
L&G completes UK's largest medically underwritten bulk pension risk deal,3
Meggitt share price tumbles as profit falls in 'challenging year',1
Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,3
Kingfisher share price slides on cost to implement new strategy,1
Shire says internal synergy goals from Baxalta deal higher,3
"European shares plunge, roiled by BHP and oil; hopes turn to ECB",1
Morrisons and Debenhams surprise City with Christmas bounce back,3
Morrisons and Debenhams surprise City with Christmas bounce back,3
"Britain's FTSE falls back with Ashtead, commodities under pressure",1
Tesco shares jump 6% after Christmas sales beat expectations,3
"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",3
CompaniesHome Retail trims gains but is considered 'in play',3
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,3
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,3
Investors Remain Skeptical About Shell-BG Deal,1
MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,3
Shire share price under pressure after $32bn Baxalta deal,1
Shire share price under pressure after $32bn Baxalta deal,1
Valeant Names Interim Leader as CEO Remains Hospitalized,2
Valeant Said to Name New CEO With Pearson Still Hospitalized,3
Shares in BAE Systems hit 10-month high on rating upgrade,3
Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,3
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,1
CompaniesDixons Carphone to close 134 UK stores as sales jump,3
"Broker tips: RBS, Croda, Sage",3
"Broker tips: RBS, Croda, Sage",3
Shell share price: Standard Life announce position against BG acquisition,1
Shell share price: Standard Life announce position against BG acquisition,1
Tesco share price down as grocer faces SFO investigation outcome,1
"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise",3
Greene King's third quarter sales boosted by festive season,3
ARM Royalties Accelerate as Smartphone Market Regains Strength,3
ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,3
InterContinental Hotels Group share price climbs on $1.5bn special dividend,3
Amazon to attack UK grocery market with Morrisons deal,3
AstraZeneca share price: Acerta deal pays off with orphan drug status,3
"BHP Billiton posts big loss, slashes dividend",1
